industry,beta,debtToEquity,effectiveTaxRate,unleveredBeta,cashToFirmValue,unleveredBetaCashCorrected,hiloRisk,stdevEquity,stdevOperatingIncome
advertising-agencies,1.34,0.262,0.0767,1.119933138,0.0656,1.2,0.6098,0.6719,0.121
aerospace-defense,0.9,0.2279,0.1102,0.768623097,0.0387,0.8,0.4341,0.4274,0.2392
agricultural-inputs,0.98,0.5333,0.0889,0.7000125,0.0411,0.73,0.5104,0.6959,0.5076
airlines,1.24,1.0683,0.1015,0.688420381,0.1028,0.76,0.5255,0.6527,2.0402
airports-air-services,1.24,1.0683,0.1015,0.688420381,0.1028,0.76,0.5255,0.6527,2.0402
aluminum,1.02,0.1676,0.018,0.906102869,0.0556,0.96,0.6103,0.7237,0.5355
apparel-manufacturing,0.99,0.4589,0.0808,0.736511243,0.1086,0.83,0.4841,0.5093,0.2449
apparel-retail,0.99,0.4589,0.0808,0.736511243,0.1086,0.83,0.4841,0.5093,0.2449
asset-management,0.57,0.3504,0.0619,0.45137789,0.1006,0.5,0.2668,0.2294,0.1998
auto-manufacturers,1.62,0.224,0.0211,1.386986301,0.0351,1.43,0.6646,0.7759,0.4693
auto-parts,1.23,0.4783,0.1277,0.905260446,0.0861,0.99,0.3843,0.5262,0.2056
auto-truck-dealerships,1.62,0.224,0.0211,1.386986301,0.0351,1.43,0.6646,0.7759,0.4693
banks-diversified,0.88,1.8319,0.181,0.370694104,0.2977,0.53,0.2337,0.3047,
banks-regional,0.52,0.6032,0.1684,0.358028091,0.2475,0.48,0.2078,0.2996,2.6519
beverages-brewers,0.61,0.3047,0.0828,0.496530392,0.0186,0.51,0.5509,0.6308,0.2167
beverages-non-alcoholic,0.57,0.1973,0.0694,0.496526492,0.0357,0.51,0.6427,0.4767,0.1538
beverages-wineries-distilleries,0.61,0.3047,0.0828,0.496530392,0.0186,0.51,0.5509,0.6308,0.2167
biotechnology,1.25,0.1709,0.0105,1.107984134,0.0507,1.17,0.6315,0.8683,0.3935
broadcasting,0.92,1.4956,0.1074,0.433614554,0.0947,0.48,0.539,0.526,0.2823
building-materials,1.36,0.1897,0.1911,1.190606465,0.0357,1.23,0.3033,0.3475,0.4633
building-products-equipment,1.79,0.2019,0.1366,1.554595393,0.0111,1.57,0.3394,0.5213,0.3229
business-equipment-supplies,1.2,0.4651,0.1345,0.889663225,0.0765,0.96,0.3777,0.4989,0.171
capital-markets,,,,,,,,,
chemicals,0.99,1.1312,0,0.535598355,0.0734,0.58,0.2709,0.4697,0.3849
coking-coal,1.18,0.0947,0.0277,1.101748325,0.1287,1.27,0.4805,0.5378,2.4543
communication-equipment,1,0.128,0.0435,0.912408759,0.0383,0.95,0.5385,0.5609,0.1258
computer-hardware,1.14,0.0482,0.0899,1.100226801,0.0142,1.12,0.4501,0.5262,0.2918
confectioners,0.47,0.3652,0.1012,0.368945757,0.0274,0.38,0.4525,0.4627,0.1004
conglomerates,,,,,,,,,
consulting-services,1,0.1678,0.1248,0.888217791,0.0327,0.92,0.4832,0.4539,0.2612
consumer-electronics,1.06,0.1442,0.0659,0.956549204,0.0557,1.01,0.5014,0.6161,0.2637
copper,1.02,0.1676,0.018,0.906102869,0.0556,0.96,0.6103,0.7237,0.5355
credit-services,,,,,,,,,
department-stores,1.06,0.0873,0.1675,0.994861447,0.0283,1.03,0.3721,0.4669,0.2581
diagnostics-research,,,,,,,,,
discount-stores,,,,,,,,,
drug-manufacturers-general,1.06,0.0873,0.1675,0.994861447,0.0283,1.03,0.3721,0.4669,0.2581
drug-manufacturers-specialty-generic,1.07,0.1689,0.0258,0.949697118,0.0308,0.98,0.6501,0.8005,0.2533
education-training-services,0.98,0.1944,0.1189,0.855297609,0.0695,0.92,0.5231,0.5582,0.1592
electrical-equipment-parts,1.27,0.1484,0.0514,1.142805723,0.0487,1.2,0.6052,0.7212,0.1535
electronic-components,1.06,0.1442,0.0659,0.956549204,0.0557,1.01,0.5014,0.6161,0.2637
electronic-gaming-multimedia,1.18,0.0249,0.0673,1.158367487,0.0188,1.18,0.5913,0.6663,0.589
electronics-computer-distribution,1.06,0.1442,0.0659,0.956549204,0.0557,1.01,0.5014,0.6161,0.2637
engineering-construction,0.99,0.1792,0.1471,0.872708039,0.0505,0.92,0.4576,0.4733,0.2796
entertainment,1.04,0.2034,0.0206,0.90234697,0.0367,0.94,0.6256,0.627,0.3041
farm-heavy-construction-machinery,,,,,,,,,
farm-products,0.98,0.5333,0.0889,0.7000125,0.0411,0.73,0.5104,0.6959,0.5076
financial-conglomerates,,,,,,,,,
financial-data-stock-exchanges,,,,,,,,,
food-distribution,0.72,0.4328,0.1553,0.54356032,0.0139,0.55,0.3446,0.3917,0.3358
footwear-accessories,1.42,0.1025,0.1106,1.318630296,0.0611,1.41,0.4627,0.5175,0.2769
furnishings-fixtures-appliances,0.87,0.4193,0.1161,0.661861199,0.0452,0.69,0.4093,0.548,0.221
gambling,1.19,0.4321,0.1065,0.89874063,0.0517,0.95,0.4344,0.451,1.0192
gold,1.23,0.189,0.0199,1.077293628,0.0606,1.15,0.7072,0.7097,0.5501
grocery-stores,0.58,0.5226,0.1328,0.416681634,0.1074,0.47,0.5043,0.2713,0.3234
healthcare-plans,1.01,0.1279,0.041,0.921595912,0.0338,0.96,0.5519,0.6741,0.3272
health-information-services,1.22,0.162,0.0382,1.087828801,0.0293,1.12,0.5497,0.6454,0.4424
home-improvement-retail,0.87,0.4193,0.1161,0.661861199,0.0452,0.69,0.4093,0.548,0.221
household-personal-products,0.9,0.1522,0.08,0.807790692,0.0307,0.83,0.6304,0.5667,0.1191
industrial-distribution,,,,,,,,,
information-technology-services,0.98,0.3537,0.1537,0.77453518,0.0312,0.8,0.4241,0.3966,0.4439
insurance-brokers,0.76,0.1735,0.0878,0.672491981,0.0245,0.69,0.3637,0.5101,0.5259
insurance-diversified,0.76,0.1735,0.0878,0.672491981,0.0245,0.69,0.3637,0.5101,0.5259
insurance-life,0.73,0.6273,0.1451,0.496438226,0.1981,0.62,0.2558,0.3431,0.2877
insurance-property-casualty,0.61,0.1546,0.1605,0.546619472,0.0462,0.57,0.2914,0.3369,0.2988
insurance-reinsurance,0.76,0.1735,0.0878,0.672491981,0.0245,0.69,0.3637,0.5101,0.5259
insurance-specialty,0.76,0.1735,0.0878,0.672491981,0.0245,0.69,0.3637,0.5101,0.5259
integrated-freight-logistics,1.24,1.0683,0.1015,0.688420381,0.1028,0.76,0.5255,0.6527,2.0402
internet-content-information,0.98,0.3537,0.1537,0.77453518,0.0312,0.8,0.4241,0.3966,0.4439
internet-retail,1.06,0.0873,0.1675,0.994861447,0.0283,1.03,0.3721,0.4669,0.2581
leisure,1.33,0.651,0.0733,0.893667059,0.0443,0.93,0.4857,0.5306,0.2496
lodging,0.86,0.4194,0.0545,0.654216272,0.1076,0.74,0.4624,0.2653,0.8883
lumber-wood-production,1.07,0.2257,0.2369,0.915096962,0.0441,0.96,0.3677,0.6066,0.8073
luxury-goods,1.09,0.1609,0.0501,0.972628104,0.0408,1.01,0.5726,0.5935,0.7355
marine-shipping,0.58,0.1911,0.0578,0.507292327,0.036,0.52,0.4189,0.4519,0.7429
medical-care-facilities,0.86,0.7715,0.0905,0.544777892,0.0395,0.57,0.5355,0.5081,0.1823
medical-devices,0.86,0.7715,0.0905,0.544777892,0.0395,0.57,0.5355,0.5081,0.1823
medical-distribution,1.02,0.1676,0.018,0.906102869,0.0556,0.96,0.6103,0.7237,0.5355
medical-instruments-supplies,1.01,0.1279,0.041,0.921595912,0.0338,0.96,0.5519,0.6741,0.3272
metal-fabrication,1.02,0.1676,0.018,0.906102869,0.0556,0.96,0.6103,0.7237,0.5355
mortgage-finance,0.86,0.4194,0.0545,0.654216272,0.1076,0.74,0.4624,0.2653,0.8883
oil-gas-drilling,0.88,0.2665,0.071,0.73340973,0.0325,0.75,0.4581,0.4766,2.0053
oil-gas-e-p,0.88,0.2665,0.071,0.73340973,0.0325,0.75,0.4581,0.4766,2.0053
oil-gas-equipment-services,0.94,0.3852,0.0908,0.729304058,0.0647,0.78,0.4582,0.4949,0.8177
oil-gas-integrated,0.48,0.1371,0.2523,0.435245846,0.0377,0.46,0.182,0.2556,1.0791
oil-gas-midstream,0.75,0.5154,0.1248,0.540910894,0.0117,0.55,0.4258,0.3817,0.6013
oil-gas-refining-marketing,0.48,0.1371,0.2523,0.435245846,0.0377,0.46,0.182,0.2556,1.0791
other-industrial-metals-mining,1.02,0.1676,0.018,0.906102869,0.0556,0.96,0.6103,0.7237,0.5355
other-precious-metals-mining,1.23,0.189,0.0199,1.077293628,0.0606,1.15,0.7072,0.7097,0.5501
packaged-foods,0.47,0.3652,0.1012,0.368945757,0.0274,0.38,0.4525,0.4627,0.1004
packaging-containers,0.98,0.5291,0.1429,0.701591108,0.0533,0.74,0.2703,0.3398,0.1229
paper-paper-products,1.07,0.2257,0.2369,0.915096962,0.0441,0.96,0.3677,0.6066,0.8073
personal-services,1,0.1678,0.1248,0.888217791,0.0327,0.92,0.4832,0.4539,0.2612
pharmaceutical-retailers,1.07,0.1689,0.0258,0.949697118,0.0308,0.98,0.6501,0.8005,0.2533
pollution-treatment-controls,0.92,0.1932,0.0684,0.80356363,0.0141,0.82,0.5672,0.5448,0.3177
publishing,0.64,0.2869,0.0976,0.526673113,0.059,0.56,0.3281,0.41,0.1256
railroads,0.99,0.2839,0.1714,0.816208752,0.011,0.83,0.2148,0.2656,0.1305
real-estate-development,1.03,1.0871,0.0249,0.567391514,0.0808,0.62,0.478,0.4968,0.6802
real-estate-diversified,0.86,0.4194,0.0545,0.654216272,0.1076,0.74,0.4624,0.2653,0.8883
real-estate-services,1.08,0.2879,0.0426,0.888212678,0.0708,0.95,0.5104,0.5653,0.2671
recreational-vehicles,1.04,0.2034,0.0206,0.90234697,0.0367,0.94,0.6256,0.627,0.3041
reit-diversified,0.95,0.8349,0.018,0.584192968,0.0201,0.59,0.2572,0.3208,0.2321
reit-healthcare-facilities,0.86,0.7715,0.0905,0.544777892,0.0395,0.57,0.5355,0.5081,0.1823
reit-hotel-motel,0.95,0.8349,0.018,0.584192968,0.0201,0.59,0.2572,0.3208,0.2321
reit-industrial,0.95,0.8349,0.018,0.584192968,0.0201,0.59,0.2572,0.3208,0.2321
reit-mortgage,0.95,0.8349,0.018,0.584192968,0.0201,0.59,0.2572,0.3208,0.2321
reit-office,0.95,0.8349,0.018,0.584192968,0.0201,0.59,0.2572,0.3208,0.2321
reit-residential,0.95,0.8349,0.018,0.584192968,0.0201,0.59,0.2572,0.3208,0.2321
reit-retail,0.95,0.5477,0.0119,0.67338874,0.0208,0.69,0.2665,0.2356,0.1396
reit-specialty,0.95,0.5477,0.0119,0.67338874,0.0208,0.69,0.2665,0.2356,0.1396
rental-leasing-services,1.08,0.2879,0.0426,0.888212678,0.0708,0.95,0.5104,0.5653,0.2671
residential-construction,1.43,0.175,0.1773,1.264088398,0.0831,1.38,0.3436,0.4143,0.6764
resorts-casinos,1.19,0.4321,0.1065,0.89874063,0.0517,0.95,0.4344,0.451,1.0192
restaurants,0.58,0.5226,0.1328,0.416681634,0.1074,0.47,0.5043,0.2713,0.3234
scientific-technical-instruments,,,,,,,,,
security-protection-services,1,0.1678,0.1248,0.888217791,0.0327,0.92,0.4832,0.4539,0.2612
semiconductor-equipment-materials,1.48,0.0818,0.0995,1.394450464,0.0511,1.47,0.347,0.5109,0.5683
semiconductors,1.49,0.0389,0.0419,1.447761557,0.0113,1.46,0.4968,0.5605,0.3061
shell-companies,,,,,,,,,
silver,1.23,0.189,0.0199,1.077293628,0.0606,1.15,0.7072,0.7097,0.5501
software-application,1.24,0.049,0.0444,1.196045334,0.0174,1.22,0.5686,0.6363,0.4308
software-infrastructure,1.69,0.1154,0.0218,1.555381713,0.0288,1.6,0.5403,0.5562,3.009
solar,1.13,1.7618,0.0122,0.486785707,0.0271,0.5,0.6739,0.7193,0.4118
specialty-business-services,1,0.1678,0.1248,0.888217791,0.0327,0.92,0.4832,0.4539,0.2612
specialty-chemicals,0.92,0.2712,0.0999,0.764500582,0.0358,0.79,0.4247,0.4815,0.1852
specialty-industrial-machinery,1.07,0.157,0.1122,0.957280251,0.0292,0.98,0.4267,0.4607,0.2052
specialty-retail,1.22,0.2893,0.0823,1.002485671,0.0505,1.06,0.5509,0.57,0.2063
staffing-employment-services,1,0.1678,0.1248,0.888217791,0.0327,0.92,0.4832,0.4539,0.2612
steel,1.06,0.259,0.1176,0.887586351,0.0794,0.96,0.3582,0.4679,1.0197
telecom-services,0.89,1.0017,0.0365,0.508201168,0.0177,0.52,0.5682,0.6371,0.157
textile-manufacturing,0.99,0.4589,0.0808,0.736511243,0.1086,0.83,0.4841,0.5093,0.2449
thermal-coal,1.18,0.0947,0.0277,1.101748325,0.1287,1.27,0.4805,0.5378,2.4543
tobacco,0.98,0.2796,0.125,0.810118211,0.0181,0.83,0.5533,0.6834,0.0963
tools-accessories,,,,,,,,,
travel-services,,,,,,,,,
trucking,1.1,0.2292,0.186,0.938646642,0.0227,0.96,0.3515,0.3218,0.37
uranium,0.92,0.2712,0.0999,0.764500582,0.0358,0.79,0.4247,0.4815,0.1852
utilities-diversified,0.39,0.7806,0.1065,0.245986944,0.0081,0.25,0.1566,0.1821,0.128
utilities-independent-power-producers,0.54,0.8034,0.1211,0.336962965,0.0125,0.34,0.2644,0.2731,0.1088
utilities-regulated-electric,0.39,0.7806,0.1065,0.245986944,0.0081,0.25,0.1566,0.1821,0.128
utilities-regulated-gas,0.39,0.7806,0.1065,0.245986944,0.0081,0.25,0.1566,0.1821,0.128
utilities-regulated-water,0.68,0.5864,0.1136,0.472287818,0.0041,0.47,0.3517,0.5253,0.1671
utilities-renewable,1.13,1.7618,0.0122,0.486785707,0.0271,0.5,0.6739,0.7193,0.4118
waste-management,0.92,0.1932,0.0684,0.80356363,0.0141,0.82,0.5672,0.5448,0.3177
